"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 09, 2020","23.10","23.70","23.90","23.00","37.41K","-0.43%"
"Jan 08, 2020","23.20","23.70","23.90","23.10","48.49K","-2.11%"
"Jan 07, 2020","23.70","23.90","24.20","23.60","96.75K","-0.84%"
"Jan 06, 2020","23.90","23.90","24.80","23.80","86.34K","-0.83%"
"Jan 05, 2020","24.10","24.90","24.90","23.90","114.78K","-2.43%"
"Jan 02, 2020","24.70","25.10","25.20","24.60","107.33K","0.82%"
"Jan 01, 2020","24.50","24.80","25.10","24.40","71.69K","-0.81%"
"Dec 30, 2019","24.70","24.90","25.20","24.20","168.46K","0.41%"
"Dec 29, 2019","24.60","24.50","25.00","24.40","113.03K","0.82%"
"Dec 26, 2019","24.40","24.20","24.80","24.10","65.81K","1.24%"
"Dec 24, 2019","24.10","24.20","24.30","23.60","99.08K","0.84%"
"Dec 23, 2019","23.90","24.30","25.00","23.50","248.59K","-2.45%"
"Dec 22, 2019","24.50","24.50","24.70","24.00","36.68K","0.41%"
"Dec 19, 2019","24.40","24.30","24.80","24.00","59.00K","2.09%"
"Dec 18, 2019","23.90","25.20","25.20","23.80","80.13K","-1.65%"
"Dec 17, 2019","24.30","25.10","25.10","24.10","65.73K","-2.80%"
"Dec 15, 2019","25.00","24.80","25.30","24.80","56.36K","-2.34%"
"Dec 12, 2019","25.60","24.50","25.80","24.00","81.59K","4.07%"
"Dec 11, 2019","24.60","24.90","24.90","24.40","53.52K","-0.81%"
"Dec 10, 2019","24.80","25.50","25.60","24.40","68.94K","-1.59%"
"Dec 09, 2019","25.20","25.80","25.80","25.00","25.37K","-1.95%"
"Dec 08, 2019","25.70","26.30","26.60","25.60","140.11K","-3.38%"
"Dec 05, 2019","26.60","27.70","27.70","26.50","128.26K","-2.92%"
"Dec 04, 2019","27.40","27.40","28.20","27.20","240.99K","0.00%"
"Dec 03, 2019","27.40","27.60","28.10","27.30","126.30K","0.37%"
"Dec 02, 2019","27.30","27.40","28.90","26.90","565.89K","1.87%"
"Dec 01, 2019","26.80","27.20","27.60","26.70","256.70K","-1.11%"
"Nov 28, 2019","27.10","27.20","27.50","26.50","383.36K","0.37%"
"Nov 27, 2019","27.00","26.60","28.30","26.40","426.26K","1.50%"
"Nov 26, 2019","26.60","25.10","27.30","24.90","552.21K","6.40%"
"Nov 25, 2019","25.00","24.40","25.90","24.40","329.64K","4.17%"
"Nov 24, 2019","24.00","23.80","24.40","23.40","300.95K","2.04%"
"Nov 20, 2019","23.52","23.81","24.10","23.33","269.02K","-0.80%"
"Nov 19, 2019","23.71","23.90","24.10","23.62","248.36K","0.38%"
